time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,0.0,5.33,2.62,0.0
20190101:0110,0.0,0.0,0.0,5.16,2.9,0.0
20190101:0210,0.0,0.0,0.0,5.2,3.38,0.0
20190101:0310,0.0,0.0,0.0,5.12,3.59,0.0
20190101:0410,0.0,0.0,0.0,4.98,3.86,0.0
20190101:0510,0.0,0.0,0.0,4.68,4.14,0.0
20190101:0610,0.0,0.0,0.0,4.34,4.34,0.0
20190101:0710,0.0,0.0,0.0,5.18,4.55,0.0
20190101:0810,82.34,108.63,5.44,5.15,4.69,0.0
20190101:0910,162.46,195.87,11.0,5.17,4.9,0.0
20190101:1010,40.51,61.65,14.67,5.03,4.83,0.0
20190101:1110,84.31,111.47,16.13,4.72,4.83,0.0
20190101:1210,85.42,112.54,15.24,4.53,4.76,0.0
20190101:1310,15.82,30.83,12.08,4.48,4.69,0.0
20190101:1410,8.05,19.95,6.93,4.52,4.55,0.0
20190101:1510,0.0,0.0,0.0,4.58,4.83,0.0
20190101:1610,0.0,0.0,0.0,4.39,5.72,0.0
20190101:1710,0.0,0.0,0.0,3.84,6.07,0.0
20190101:1810,0.0,0.0,0.0,3.02,5.86,0.0
20190101:1910,0.0,0.0,0.0,2.8,5.38,0.0
20190101:2010,0.0,0.0,0.0,2.0,5.66,0.0
20190101:2110,0.0,0.0,0.0,1.42,5.93,0.0
20190101:2210,0.0,0.0,0.0,1.01,6.14,0.0
20190101:2310,0.0,0.0,0.0,0.53,6.0,0.0
20190102:0010,0.0,0.0,0.0,0.18,5.66,0.0
20190102:0110,0.0,0.0,0.0,0.29,5.52,0.0
20190102:0210,0.0,0.0,0.0,0.67,5.52,0.0
20190102:0310,0.0,0.0,0.0,0.84,5.31,0.0
20190102:0410,0.0,0.0,0.0,0.9,5.24,0.0
20190102:0510,0.0,0.0,0.0,0.95,5.17,0.0
20190102:0610,0.0,0.0,0.0,0.92,4.76,0.0
20190102:0710,0.0,0.0,0.0,0.28,4.69,0.0
20190102:0810,204.49,236.87,5.46,0.06,4.83,0.0
20190102:0910,276.21,312.8,11.05,0.33,4.62,0.0
20190102:1010,290.08,328.31,14.74,0.67,4.76,0.0
20190102:1110,34.4,53.49,16.22,1.0,5.17,0.0
20190102:1210,49.11,70.72,15.34,1.24,5.66,0.0
20190102:1310,365.84,410.47,12.19,1.17,5.72,0.0
20190102:1410,336.79,383.15,7.05,0.87,5.38,0.0
20190102:1510,0.0,0.0,0.0,0.34,4.69,0.0
20190102:1610,0.0,0.0,0.0,-0.13,4.21,0.0
20190102:1710,0.0,0.0,0.0,-0.46,4.0,0.0
20190102:1810,0.0,0.0,0.0,-0.67,3.93,0.0
20190102:1910,0.0,0.0,0.0,-1.01,4.34,0.0
20190102:2010,0.0,0.0,0.0,-1.16,4.0,0.0
20190102:2110,0.0,0.0,0.0,-1.37,3.59,0.0
20190102:2210,0.0,0.0,0.0,-1.53,3.38,0.0
20190102:2310,0.0,0.0,0.0,-1.8,3.24,0.0
20190103:0010,0.0,0.0,0.0,-1.74,3.03,0.0
20190103:0110,0.0,0.0,0.0,-1.8,3.1,0.0
20190103:0210,0.0,0.0,0.0,-1.93,3.24,0.0
20190103:0310,0.0,0.0,0.0,-2.27,2.97,0.0
20190103:0410,0.0,0.0,0.0,-2.55,2.76,0.0
